SU,Class,Count,Weight
7109,Bone,,0.194
7120,Bone,1,0.001
7124,Bone,,0.295
7126,Bone,,1.66
7127,Bone,,0.206
7128,Bone,,0.22
7129,Bone,8,0.031
7133,Bone,,0.026
7135,Bone,,0.461
7140,Bone,,0.06
7141,Bone,1,0.001
7150,Bone,,0.004
7152,Bone,,0.104
7154,Bone,1,0.003
7157,Bone,,0.208
7165,Bone,6,1.616
7166,Bone,,0.511
7168,Bone,,0.054
7170,Bone,,0.071
7171,Bone,,0.014
7172,Bone,,0.043
7180,Bone,,1.32
7189,Bone,,0.552
7192,Bone,5,0.015
7193,Bone,1,0.005
7194,Bone,,0.044
7199,Bone,1,0.003
7201,Bone,,0.061
7206,Bone,3,0.01
7208,Bone,,1.173
7209,Bone,,0.559
7216,Bone,1,0.002
7217,Bone,,0.195
7218,Bone,,0.017
7219,Bone,2,0.008
7220,Bone,,1.623
7221,Bone,1,0.004
7222,Bone,,0.019
7223,Bone,,0.317
7224,Bone,,0.47
7225,Bone,,0.058
7226,Bone,,0.09
7230,Bone,,0.055
7231,Bone,,0.002
7232,Bone,,0.214
7233,Bone,,0.069
7237,Bone,,0.018
7238,Bone,,0.042
7239,Bone,,0.305
7245,Bone,,2.42
7249,Bone,3,0.018
7252,Bone,27,2.2
7253,Bone,8,0.0019
8000,Bone,,5.02
8001,Bone,,2.485
8002,Bone,,0.11
8004,Bone,10,0.012
8007,Bone,3,0.0045
8014,Bone,1,0.001
8033,Bone,,0.5
8046,Bone,,0.038
8049,Bone,,0.06
8050,Bone,,0.123
8053,Bone,,0.4
8054,Bone,12,0.02
8056,Bone,,0.033
8058,Bone,,0.014
8060,Bone,,0.012
8063,Bone,,0.025
8064,Bone,,0.095
8066,Bone,1,0.001
8067,Bone,,0.004
8069,Bone,8,0.004
8072,Bone,,0.026
8082,Bone,,0.016
8085,Bone,8,0.007
8087,Bone,1,0.0009
8089,Bone,,0.009
8098,Bone,2,0.005
8109,Bone,3,0.24
8110,Bone,,0.008
8111,Bone,3,0.028
8112,Bone,,0.138
8114,Bone,3,0.002
8117,Bone,,0.276
8118,Bone,,0.51
8132,Bone,,0.23
8134,Bone,5,0.017
8136,Bone,,0.005
8137,Bone,,0.041
8139,Bone,,0.039
8141,Bone,,0.051
8143,Bone,,0.033
8143,Bone,,0.118
8148,Bone,8,0.009
8149,Bone,,0.08
8149,Bone,,0.08
8149,Bone,,0.08
8149,Bone,,0.08
8149,Bone,,0.08
8149,Bone,,0.08
8149,Bone,,0.08
8155,Bone,2,0.006
8161,Bone,,0.033
8163,Bone,5,0.001
8166,Bone,1,0.006
8169,Bone,32,0.107
8174,Bone,3,0.036
8183,Bone,,0.038
8187,Bone,,0.065
8190,Bone,,0.1
8191,Bone,,0.038
8192,Bone,5,0.005
8193,Bone,7,0.011
8194,Bone,1,0.003
8195,Bone,,0.026
8202,Bone,,0.034
8213,Bone,1,0.002
8216,Bone,,0.263
8218,Bone,1,0.002
8220,Bone,2,0.046
8230,Bone,,0.286
8234,Bone,,0.071
8235,Bone,,0.129
8248,Bone,,0.287
8269,Bone,,0.004
8275,Bone,,0.03
8276,Bone,,0.199
8277,Bone,,0.054
8285,Bone,,0.11
8289,Bone,,0.019
8307,Bone,1,0.00073
8308,Bone,,0.013
8309,Bone,,0.06
8309,Bone,,0.068
8312,Bone,,0.103
8314,Bone,,4.55
8332,Bone,,0.074
8334,Bone,,0.512
8336,Bone,,0.022
8339,Bone,,0.056
8344,Bone,3,0.013
8353,Bone,,0.003
8362,Bone,,0.102
8364,Bone,,0.008
8365,Bone,202,0.94
8372,Bone,,0.007
8375,Bone,,0.014
9000,Bone,,0.225
9008,Bone,4,0.008
9010,Bone,1,0.005
9013,Bone,2,0.003
9014,Bone,2,0.001
9015,Bone,2,0.0001
9017,Bone,1,0.002
9022,Bone,8,0.066
9026,Bone,2,0.007
9029,Bone,,0.171
9031,Bone,,0.076
9032,Bone,,0.099
9033,Bone,,0.091
9034,Bone,,0.035
9037,Bone,,0.047
9999,Bone,1,2
