SU,Class,Count,Weight
2397,Bone,,0.008
2398,Bone,3,0.002
2400,Bone,,0.006
2402,Bone,,0.034
2403,Bone,4,0.01
2405,Bone,,0.006
2406,Bone,,0.008
2409,Bone,4,0.004
2410,Bone,,0.034
2414,Bone,,0.046
2415,Bone,,0.14
2416,Bone,,0.05
2418,Bone,,0.052
2420,Bone,,0.25
2421,Bone,2,0.001
2422,Bone,,0.056
2423,Bone,,0.06
2424,Bone,,0.098
2426,Bone,,0.048
2427,Bone,,0.04
2431,Bone,8,0.04
2433,Bone,,0.032
2435,Bone,,0.064
2438,Bone,,
2439,Bone,2,0.006
2440,Bone,,0.074
2441,Bone,,0.014
2442,Bone,,0.016
2444,Bone,,0.016
2445,Bone,,0.114
2446,Bone,3,0.005
2447,Bone,,0.082
2448,Bone,,0.066
2451,Bone,,0.17
2452,Bone,1,0.001
2457,Bone,,0.089
2458,Bone,,0.112
2460,Bone,,0.08
2460,Bone,,0.08
2460,Bone,,0.08
2460,Bone,,0.08
2460,Bone,,0.08
2460,Bone,,0.08
2460,Bone,,0.08
2461,Bone,1,0.006
2466,Bone,,0.034
2467,Bone,2,0.001
2468,Bone,16,0.065
2471,Bone,,0.019
2472,Bone,,0.04
2474,Bone,,0.014
2475,Bone,,0.534
2477,Bone,,0.02
2485,Bone,,0.095
2486,Bone,,0.048
2488,Bone,3,0.012
2492,Bone,,0.348
2492,Bone,2,0.08
2494,Bone,,0.14
2496,Bone,,0.3
2500,Bone,,0.002
2504,Bone,,0.006
2506,Bone,,0.014
2506,Bone,,0.014
2506,Bone,,0.014
2506,Bone,,0.014
2506,Bone,,0.014
2506,Bone,,0.014
2506,Bone,,0.014
2508,Bone,,0.136
2510,Bone,,0.09
2511,Bone,,0.02
2512,Bone,,0.05
2517,Bone,,0.005
2523,Bone,,0.099
2530,Bone,,0.32
2532,Bone,,0.02
2533,Bone,,0.18
2534,Bone,,0.08
2535,Bone,,0.026
2537,Bone,,0.024
2538,Bone,,0.00607
2539,Bone,2,0.009
2542,Bone,,0.04
2544,Bone,,0.016
2545,Bone,,0.065
2546,Bone,,0.06
2550,Bone,,0.05
2551,Bone,,0.574
2551,Bone,,0.41
2552,Bone,,0.134
2554,Bone,,0.005
2555,Bone,,0.02
2556,Bone,13,0.022
2557,Bone,4,0.005
2558,Bone,,0.24
2561,Bone,1,0.002
2562,Bone,,0.038
2563,Bone,,0.11
2566,Bone,,0.43
2567,Bone,,0.006
2569,Bone,,0.004
2571,Bone,,0.001
2572,Bone,,0.024
2573,Bone,,0.034
2574,Bone,,0.025
2575,Bone,,0.044
2581,Bone,,0.04
2582,Bone,4,0.0038
2583,Bone,3,0.004
2585,Bone,,0.111
2586,Bone,,0.022
2587,Bone,,0.032
2589,Bone,,0.013
2590,Bone,,0.12
2593,Bone,,0.057
2594,Bone,,0.018
2595,Bone,,0.124
2596,Bone,,0.02
2597,Bone,2,0.014
2598,Bone,,0.027
2600,Bone,,0.013
2602,Bone,2,0.006
2603,Bone,,0.001
2604,Bone,,0.013
2605,Bone,1,0.001
2607,Bone,,0.018
2608,Bone,3,0.011
2613,Bone,,0.003
2616,Bone,,0.0246
2617,Bone,,13.83
2624,Bone,1,0.0022
