SU_ID,CERAMICS_CLASS,CERAMICS_DETAILS,VESSELS,RIMS,HANDLES,BASES,WALLS,TOTAL,WEIGHT,SIZE_MIN,SIZE_MAX,SD_START,SD_END
1378,Impasto Rosso,NULL,NULL,2,NULL,NULL,5,7,NULL,NULL,NULL,-770,-730
3264,Impasto,NULL,NULL,5,3,1,41,50,0.712,2,8,-770,-730
3266,Impasto,NULL,NULL,NULL,NULL,NULL,7,7,0.17,3,9,-770,-730
3282,Impasto,NULL,NULL,3,NULL,NULL,10,13,0.262,2,10,-770,-730
3361,Italo Geometric,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-770,-730
3559,Impasto,NULL,NULL,2,NULL,NULL,1,3,0.054,4,5,-770,-730
3731,Buccheroid Impasto,NULL,1,10,2,NULL,45,78,0.584,2,11,-770,-730
3361,Impasto,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-750,-725
3021,Impasto,NULL,NULL,44,4,9,173,230,NULL,NULL,NULL,-770,-720
1064,Cooking Stand,NULL,NULL,NULL,NULL,NULL,2,2,NULL,6,10,-1400,-700
2368,Cooking Stand,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-1400,-700
2492,Cooking Stand,NULL,NULL,NULL,NULL,NULL,1,1,0.056,5,5,-1000,-700
2492,Cooking Stand,NULL,NULL,1,NULL,NULL,NULL,1,0.192,8,8,-1000,-700
2095,Impasto,NULL,NULL,140,34,33,1022,1229,NULL,NULL,NULL,-900,-700
3264,Impasto,NULL,NULL,5,3,1,41,50,0.712,2,8,-900,-700
3276,Impasto,NULL,NULL,3,1,NULL,79,83,1.325,1,9,-900,-700
3626,Dolium,Rope detail below rim,NULL,4,NULL,NULL,3,7,0.813,4,10,-900,-700
2095,Impasto Rosso,NULL,NULL,33,6,3,115,157,NULL,NULL,NULL,-800,-700
3263,Italo Geometric,NULL,NULL,2,NULL,NULL,2,4,0.014,2,4,-725,-700
1086,Commonware,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,-700,-700
2224,Commonware,NULL,NULL,NULL,NULL,NULL,11,11,NULL,NULL,NULL,-700,-700
2257,Commonware,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-700,-700
2265,Commonware,NULL,NULL,NULL,NULL,1,3,4,NULL,NULL,NULL,-700,-700
2266,Commonware,NULL,NULL,4,NULL,NULL,31,35,NULL,NULL,NULL,-700,-700
