SU_ID,CERAMICS_CLASS,CERAMICS_DETAILS,VESSELS,RIMS,HANDLES,BASES,WALLS,TOTAL,WEIGHT,SIZE_MIN,SIZE_MAX,SD_START,SD_START_SUFFIX,SD_END,SD_END_SUFFIX
337,Impasto,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,770,BC,730,BC
341,Impasto,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,900,BC,770,BC
344,Impasto,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,770,BC,730,BC
347,Impasto,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,770,BC,730,BC
354,Black Gloss,NULL,NULL,2,NULL,NULL,4,6,NULL,NULL,NULL,300,BC,250,BC
354,Impasto,NULL,NULL,1,NULL,NULL,9,10,NULL,NULL,NULL,900,BC,500,BC
354,Italo Megarian,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,200,BC,50,BC
354,Thin Walled,NULL,NULL,NULL,NULL,1,3,4,NULL,NULL,NULL,175,BC,200,AD
356,Black Gloss,NULL,NULL,1,NULL,NULL,2,3,NULL,NULL,NULL,400,BC,50,BC
356,Impasto,NULL,NULL,1,NULL,NULL,7,8,NULL,NULL,NULL,900,BC,500,BC
356,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,500,BC,400,BC
357,Black Gloss,NULL,NULL,14,NULL,4,25,43,NULL,NULL,NULL,250,BC,190,BC
357,Genucilia Plate,NULL,NULL,1,NULL,1,NULL,2,NULL,NULL,NULL,400,BC,300,BC
357,Impasto,NULL,NULL,18,NULL,2,78,98,NULL,NULL,NULL,900,BC,500,BC
357,Thin Walled,NULL,NULL,1,NULL,1,10,12,NULL,NULL,NULL,27,BC,14,AD
357,Thin Walled,NULL,NULL,1,NULL,1,10,12,NULL,NULL,NULL,100,BC,0,AD
366,Impasto,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,900,BC,500,BC
369,Bucchero,NULL,NULL,6,NULL,1,7,14,NULL,NULL,NULL,525,BC,450,BC
369,Bucchero,NULL,NULL,6,NULL,1,7,14,NULL,NULL,NULL,675,BC,450,BC
369,Impasto,NULL,NULL,12,NULL,1,31,44,NULL,NULL,NULL,900,BC,500,BC
369,Impasto Chiaro Sabbioso,NULL,NULL,1,NULL,NULL,51,52,NULL,NULL,NULL,75,AD,200,AD
370,Impasto,NULL,NULL,NULL,NULL,1,2,3,0.078,1.5,5,830,BC,500,BC
372,Black Gloss,NULL,NULL,10,NULL,NULL,20,30,NULL,NULL,NULL,400,BC,50,BC
372,Impasto,NULL,NULL,15,1,1,54,71,NULL,NULL,NULL,900,BC,500,BC
373,Attic Red Figure,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,450,BC,400,BC
373,Black Gloss,NULL,NULL,2,NULL,1,11,14,NULL,NULL,NULL,200,BC,0,AD
