SU_ID,CERAMICS_CLASS,CERAMICS_DETAILS,VESSELS,RIMS,HANDLES,BASES,WALLS,TOTAL,WEIGHT,SIZE_MIN,SIZE_MAX,SD_START,SD_START_SUFFIX,SD_END,SD_END_SUFFIX
461,Black Gloss,NULL,NULL,6,NULL,NULL,7,13,0.075,NULL,NULL,225,BC,175,BC
461,Impasto,NULL,NULL,50,7,10,258,325,5.667,1,11,900,BC,500,BC
461,Impasto Rosso,NULL,NULL,9,1,1,67,78,1.395,NULL,NULL,900,BC,500,BC
464,Impasto,NULL,NULL,2,NULL,NULL,15,17,NULL,NULL,NULL,900,BC,500,BC
466,Impasto,NULL,NULL,3,1,NULL,15,19,NULL,NULL,NULL,900,BC,500,BC
466,Impasto Chiaro Sabbioso,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,500,BC,400,BC
466,Terra Sigillata,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,50,BC,180,AD
475,Impasto,NULL,NULL,1,NULL,2,16,19,NULL,NULL,NULL,900,BC,500,BC
476,Bucchero,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,675,BC,450,BC
476,Impasto,NULL,NULL,2,NULL,NULL,NULL,2,NULL,NULL,NULL,900,BC,500,BC
